Actividad Institucional,Adefas,Aprobado,Ciclo,Clave de cartera,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción de la entidad federativa,Descripción de la modalidad del programa presupuestario,Devengado,Ejercicio,Ejercido,Entidad Federativa,Finalidad,Fuente de Financiamiento,Función,Grupo Funcional,Modalidad del Programa presupuestario,Modificado,Objeto del Gasto,Pagado,Programa Presupuestario,Ramo,Subfunción,Tipo de Gasto,Unidad Responsable
3, -   ," 55,000 ",2014, 0 ,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Arrendamiento de maquinaria y equipo,Programa de gestión hídrica,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones, Quintana Roo ,Regulación y supervisión, -   , -   ,,23.0,,1.0,1,2.0,G, -   ,32601.0, -   ,10.0,16,2,1.0,B00
3,," 51,562 ",2012,9096500051,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios de vigilancia,Proyectos de infraestructura económica de carreteras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Veracruz,"Carreteras eficientes, seguras y suficientes",Veracruz,Proyectos de Inversión,,," 51,562 ",30.0,3.0,1.0,5,,K,,33801.0,,3.0,9,1,3.0,650
4,," 22,620.0 ",2013,0,Desarrollo Social,Recursos fiscales,Vivienda y Servicios a la Comunidad,,Remuneraciones por horas extraordinarias,Definición y conducción de la política de desarrollo urbano y ordenación del territorio,Desarrollo Social,Urbanización,Gasto corriente,Subsecretaría de Desarrollo Urbano y Ordenación del Territorio,Planeación de proyectos urbanos para estados y municipios,Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas", -   ,, -   ,9.0,2.0,1.0,2,,P,,13301.0,,1.0,20,1,1.0,300
13, -   , -   ,2014, 0 ,,Recursos fiscales,Protección Social,Desarrollo Social,Materiales y útiles de oficina,Programa de Empleo Temporal (PET),Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación SEDESOL en Tlaxcala,"Apoyo a artesanos tradicionales, desempleados y jornaleros agrícolas en pobreza", Tlaxcala ,Sujetos a Reglas de Operación," 59,168 "," 59,168 ",,29.0,,1.0,6,2.0,S," 59,168 ",21101.0," 59,168 ",71.0,20,8,7.0,149
3,," 477,298.0 ",2013,0,Gobierno,Recursos fiscales,Seguridad Nacional,,"Cuotas para el fondo de ahorro de generales, almirantes, jefes y oficiales",Emplear el Poder Naval de la Federación para salvaguardar la soberanía y seguridad nacionales,Marina,Marina,Gasto corriente,"Fuerzas, Regiones, Zonas y Sectores Navales",Soberanía y seguridad nacionales en las zonas marinas mexicanas,Jalisco,Funciones de las Fuerzas Armadas, -   ,, -   ,14.0,1.0,1.0,6,,A,,15102.0,,1.0,13,2,1.0,115
7,," 44,000 ",2012,0,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Refacciones y accesorios menores de equipo de transporte,Programa de Inspección y Vigilancia en Materia de Medio Ambiente y Recursos Naturales,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Procuraduría Federal de Protección al Ambiente,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,Yucatán,Regulación y supervisión,,," 67,779 ",31.0,2.0,1.0,1,,G,,29601.0,,5.0,16,6,1.0,E00
6, -   , -   ,2014, 13071100004 ,,Recursos fiscales,Salud,Desarrollo Social,Mobiliario,Programa de sanidad militar,Defensa Nacional,Prestación de Servicios de Salud a la Persona,Gasto de capital diferente de obra pública,Dirección General de Sanidad,Servicios de salud al personal militar, Distrito Federal ,Funciones de las Fuerzas Armadas," 758,598 "," 758,598 ",,9.0,,1.0,3,2.0,A," 758,598 ",51101.0," 758,598 ",9.0,7,2,2.0,116
3,," 21,754.0 ",2010,,Desarrollo Económico,Recursos fiscales,Ciencia y Tecnología,,Estudios e investigaciones,Realización de investigación científica y elaboración de publicaciones,Consejo Nacional de Ciencia y Tecnología,Investigación Científica,Gasto corriente,El Colegio de la Frontera Sur,Generación de conocimiento científico para el bienestar de la población y difusión de sus resultados,,Prestación de Servicios Públicos,,," 21,754.0 ",,3.0,1.0,7,,E,,3308.0,,1.0,38,1,1.0,91E
1,0.00,0.00,2015,0,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Pasajes terrestres nacionales para labores en campo y de supervisión,Actividades de apoyo a la función pública y buen gobierno,Hacienda y Crédito Público,Función Pública,Gasto corriente,Comisión Nacional Bancaria y de Valores,Función pública y buen gobierno,Distrito Federal,Apoyo a la función pública y al mejoramiento de la gestión,"3,139.38","3,139.38",,9.0,,1.0,3,1.0,O,"3,139.38",37201.0,"3,139.38",1.0,6,4,1.0,B00
2,," 10,032.0 ",2013,0,Desarrollo Económico,Recursos fiscales,Turismo,,"Impresiones de documentos oficiales para la prestación de servicios públicos, identificación, formatos administrativos y fiscales, formas valoradas, certificados y títulos",Actividades de apoyo administrativo,Turismo,Turismo,Gasto corriente,Dirección General de Administración,Servicios de apoyo administrativo,Distrito Federal,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 2,847.0 ",," 2,847.0 ",9.0,3.0,1.0,7,,M,,33603.0,,1.0,21,1,1.0,510
10,," 158,434.0 ",2013,0,Desarrollo Social,Recursos fiscales,Educación,,Gastos para operativos y trabajos de campo en áreas rurales,Diseño y aplicación de la política educativa,Educación Pública,Educación Básica,Gasto corriente,Dirección General de Educación Indígena,Diseño y aplicación de la política educativa,Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas"," 30,215.8 ",," 30,215.8 ",9.0,2.0,1.0,5,,P,,37901.0,,1.0,11,1,1.0,313
3,, -   ,2010,,Desarrollo Económico,Recursos fiscales,Desarrollo Agropecuario y Forestal,,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades,Infraestructura de riego.,Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto de obra pública,Dirección Local Querétaro,Manejo eficiente y sustentable del agua y prevención de inundaciones,,Proyectos de Inversión,,," 14,176.0 ",,3.0,1.0,2,,K,,2204.0,,135.0,16,5,3.0,B54
8,," 1,173,932.0 ",2010,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,Aportaciones al Sistema de Ahorro para el Retiro,Regulación del sector de telecomunicaciones,Comunicaciones y Transportes,Otros,Gasto corriente,Comisión Federal de Telecomunicaciones,Regulación eficiente de las comunicaciones y los transportes,,Regulación y supervisión,,," 1,045,639.0 ",,3.0,1.0,1,,G,,1413.0,,4.0,9,6,1.0,D00
18,, -   ,2010,,Desarrollo Social,Recursos fiscales,Salud,,Michoacán,Reducción de enfermedades prevenibles por vacunación,Salud,Prestación de Servicios de Salud a la Persona,Gasto corriente,Centro Nacional para la Salud de la Infancia y la Adolescencia,Prestación de servicios del Sistema Nacional de Salud organizados e integrados,,Prestación de Servicios Públicos,,," 3,289,675.0 ",,2.0,1.0,1,,E,,4216.0,,36.0,12,2,1.0,R00
6,, -   ,2012,0,Desarrollo Social,Recursos fiscales,Educación,,Arrendamiento de sustancias y productos químicos,Prestación de servicios de educación superior y posgrado,Educación Pública,Posgrado,Gasto corriente,Instituto Politécnico Nacional,Educación de postgrado de calidad,Distrito Federal,Prestación de Servicios Públicos,,, 319 ,9.0,2.0,1.0,5,,E,,32901.0,,10.0,11,4,1.0,B00
3,," 30,000.0 ",2013,11096330001,Desarrollo Económico,Recursos fiscales,Transporte,,Otros impuestos y derechos,Proyectos de infraestructura económica de carreteras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Hidalgo,"Carreteras eficientes, seguras y suficientes",Hidalgo,Proyectos de Inversión," 7,999.0 ",," 7,999.0 ",13.0,3.0,1.0,5,,K,,39202.0,,3.0,9,1,3.0,633
1,," 80,222.0 ",2013,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Cuotas para el seguro de separación individualizado,Organización electoral federal,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Sonora,Específicos," 103,286.1 ",," 103,286.1 ",26.0,1.0,1.0,3,,R,,14404.0,,2.0,22,6,1.0,200
3,0.00,"12,887.00",2015,0,,Recursos fiscales,Justicia,Gobierno,Mantenimiento y conservación de inmuebles para la prestación de servicios administrativos,Resolución de asuntos relativos a conflictos y controversias por la posesión y usufructo de la tierra,Tribunales Agrarios,Impartición de Justicia,Gasto corriente,Tribunales Unitarios Agrarios,Impartición de Justicia en materia agraria,Baja California Sur,Prestación de Servicios Públicos,"17,414.40","17,414.40",,3.0,,1.0,2,1.0,E,"17,414.40",35101.0,"17,414.40",1.0,31,1,1.0,200
2, -   ," 30,250 ",2014, 0 ,,Recursos fiscales,Salud,Desarrollo Social,Subcontratación de servicios con terceros,Actividades de apoyo administrativo,Salud,Generación de Recursos para la Salud,Gasto corriente,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Servicios de apoyo administrativo, Distrito Federal ,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 31,397 "," 31,397 ",,9.0,,1.0,3,2.0,M," 31,397 ",33901.0," 31,397 ",1.0,12,3,1.0,M7F
6, -   , -   ,2014, 0 ,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Materiales y útiles de oficina,Programa de Comercialización y Desarrollo de Mercados,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios,Elevar el ingreso de los productores y el empleo rural, Chiapas ,Sujetos a Reglas de Operación," 53,743 "," 53,743 ",,7.0,,1.0,2,3.0,S," 53,743 ",21101.0," 53,743 ",262.0,8,1,7.0,F00
5,0.00,"382,197.00",2015,0,,Recursos fiscales,Educación,Desarrollo Social,Aportaciones al ISSSTE,Coordinación de la Política Nacional de Evaluación Educativa,Instituto Nacional para la Evaluación de la Educación,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Presidencia,Complemento a los servicios educativos,Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas","297,883.28","297,883.28",,9.0,,1.0,5,2.0,P,"297,883.28",14101.0,"297,883.28",1.0,42,6,1.0,100
8,,300000.0,2011,,Desarrollo Económico,Recursos fiscales,Desarrollo Sustentable,,Donativos a instituciones sin fines de lucro,Consolidar el Sistema Nacional de Áreas Naturales Protegidas,Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,Gasto corriente,Comisión Nacional de Áreas Naturales Protegidas,Conservación de la biodiversidad en ecosistemas saludables,,Regulación y supervisión,,,0.0,,3.0,1.0,9,,G,,48101.0,,13.0,16,2,1.0,F00
5,," 24,000 ",2012,0,Desarrollo Económico,Recursos fiscales,Transporte,,Refacciones y accesorios menores de equipo de transporte,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Transporte Aéreo,Gasto corriente,Centro SCT Morelos,Aeropuertos eficientes y competitivos,Morelos,Regulación y supervisión,,," 18,743 ",17.0,3.0,1.0,5,,G,,29601.0,,2.0,9,4,1.0,637
7,,1648.0,2011,,Desarrollo Económico,Recursos fiscales,Desarrollo Sustentable,,Viáticos nacionales para labores en campo y de supervisión,"Planeación, Evaluación Ambiental y Conservación de Polígonos Forestales",Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,Gasto corriente,Delegación Federal en Nuevo León,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,,"Planeación, seguimiento y evaluación de políticas públicas",,,700.0,,3.0,1.0,9,,P,,37501.0,,2.0,16,2,1.0,139
7,," 238,800 ",2012,0,Desarrollo Económico,Recursos fiscales,"Ciencia, Tecnología e Innovación",,Información en medios masivos derivada de la operación y administración de las dependencias y entidades,Generación de Proyectos de Investigación,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Investigación Científica,Gasto corriente,"Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias",Tecnificación e innovación de las actividades del sector,Distrito Federal,Prestación de Servicios Públicos,,," 199,000 ",9.0,3.0,1.0,8,,E,,33605.0,,6.0,8,1,1.0,JAG
4,," 5,969 ",2012,0,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Otros impuestos y derechos,Implementación de políticas enfocadas al medio agrario,Reforma Agraria,Agropecuaria,Gasto corriente,Delegación Estatal en Hidalgo,Ordenamiento y regularización de la propiedad rural,Hidalgo,"Planeación, seguimiento y evaluación de políticas públicas",,," 7,315 ",13.0,3.0,1.0,2,,P,,39202.0,,1.0,15,1,1.0,133
3,," 16,000.0 ",2013,0,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Pasajes terrestres nacionales para labores en campo y de supervisión,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Delegación en Michoacán,"Micro, pequeñas y medianas empresas productivas y competitivas",Michoacán,Prestación de Servicios Públicos," 11,738.9 ",," 11,738.9 ",16.0,3.0,1.0,1,,E,,37201.0,,9.0,10,1,1.0,136
10, -   ," 6,000 ",2014, 41477 ,,Recursos fiscales,Transporte,Desarrollo Económico,Arrendamiento de edificios y locales,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Veracruz,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes", Veracruz ,Proyectos de Inversión, -   , -   ,,30.0,,1.0,5,3.0,K, -   ,32201.0, -   ,31.0,9,1,3.0,650
10,, -   ,2012,12096350016,Desarrollo Económico,Recursos fiscales,Transporte,,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT México,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Estado de México,Proyectos de Inversión,,, -   ,15.0,3.0,1.0,5,,K,,22104.0,,31.0,9,1,3.0,635
8, -   , -   ,2014, 0 ,,Recursos fiscales,Protección Social,Desarrollo Social,Servicio postal,PROSPERA Programa de Inclusión Social,Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Coordinación Nacional de PROSPERA Programa de Inclusión Social,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza", Baja California Sur ,Sujetos a Reglas de Operación," 35,182 "," 35,182 ",,3.0,,1.0,6,2.0,S," 35,182 ",31801.0," 35,182 ",72.0,20,8,7.0,G00
2,,6015.0,2011,,Desarrollo Económico,Recursos fiscales,Desarrollo Sustentable,,Mantenimiento y conservación de maquinaria y equipo,Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,Gasto corriente,Delegación Federal en Yucatán,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,38822.0,,3.0,1.0,9,,M,,35701.0,,1.0,16,2,1.0,151
3, -   ," 60,000 ",2014, 0 ,,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",Desarrollo Económico,Servicio postal,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Delegación en Coahuila,"Micro, pequeñas y medianas empresas productivas y competitivas", Coahuila ,Prestación de Servicios Públicos," 54,825 "," 54,825 ",,5.0,,1.0,1,3.0,E," 54,825 ",31801.0," 54,825 ",9.0,10,1,1.0,125
10,, 640 ,2012,34548,Desarrollo Económico,Recursos fiscales,Transporte,,Otros impuestos y derechos,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Puebla,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Puebla,Proyectos de Inversión,,, -   ,21.0,3.0,1.0,5,,K,,39202.0,,31.0,9,1,3.0,641
4,0.00,0.00,2015,0,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Otras asesorías para la operación de programas,Programa Nacional Forestal-Protección Forestal,Medio Ambiente y Recursos Naturales,Silvicultura,Gasto corriente,Comisión Nacional Forestal,Producción y Protección Forestal,Querétaro,Prestación de Servicios Públicos,"558,151.74","558,151.74",,22.0,,1.0,2,3.0,E,"558,151.74",33104.0,"558,151.74",14.0,16,2,1.0,RHQ
1,," 20,339.0 ",2013,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Previsiones para aportaciones al seguro de cesantía en edad avanzada y vejez,"Dirección, soporte jurídico electoral y apoyo logístico",Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Consejeros Electorales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Distrito Federal,Específicos, -   ,, -   ,9.0,1.0,1.0,3,,R,,16107.0,,8.0,22,6,1.0,102
