ACTIVIDAD_INST_DESCRIPCION,AI,Actividad Institucional,CLAVE_CARTERA,CONCEPTO,CONCEPTO_DESCRIPCION,Ciclo,Clave de Cartera,Descripción de Actividad Institucional,Descripción de Entidad Federativa,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción del Identificador de Programa Presupuestario,Descripción del Identificador del Programa Presupuestario,Descripciónde Fuente de Financiamiento,Descripciónde Tipo de Gasto,EF,ENTIDAD_FED_DESCRIPCION,Entidad Federativa,FF,FN,FUENTE_FINAN_DESCRIPCION,FUNCIONL_DESCRIPCION,Finalidad,Fuente de Financiamiento,Función,GF,GRUPO_FUN_DESCRIPCION,Grupo Funcional,Identificador de Programa Presupuestario,Identificador del Programa Presupuestario,Importe Presupuesto de Egresos de la Federación (PEF),MOD,MODALIDAD_DESCRIPCION,Objeto del Gasto,PEF_2016,PP,PROGR_PRES_DESCRIPCION,Programa Presupuestario,RA,RAMO_DESCRIPCION,REASIGNACION_DESCRIPCION,Ramo,SF,SUBFUNCIONL_DESCRIPCION,Subfunción,TG,TIPO_GASTO_DESCRIPCION,Tipo de Gasto,UNIDAD,UNIDAD_DESCRIPCION,Unidad Responsable,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,1.0,,,,2015.0,0,,Baja California Sur,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Previsiones,Actualización del padrón electoral y expedición de la credencial para votar,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,3.0,,,,,1.0,1.0,3.0,,,,,R,"$11,760.00",,,1600.0,,,,5.0,,,,22,,,6.0,,,1.0,,,300,,,,,,,
,,2.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,Salud,,Remuneraciones adicionales y especiales,Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,Instituto Nacional de Geriatría,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,9.0,,,,,2.0,1.0,3.0,,,,,M,"$24,300.00",,,1300.0,,,,1.0,,,,12,,,4.0,,,1.0,,,NCE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,2015.0,0,,Zacatecas,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios oficiales,Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Zacatecas,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,32.0,,,,,3.0,1.0,5.0,,,,,M,"$93,475.00",,,3800.0,,,,1.0,,,,9,,,6.0,,,1.0,,,652,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regulaci¢n eficiente de las comunicaciones y los transportes,8.0,,0,2600.0,"Combustibles, lubricantes y aditivos",2016.0,,,,,,,,,,,,,,,,,,,23.0,Quintana Roo,,1.0,5.0,Recursos fiscales,Transporte,,,,3.0,Desarrollo Econ¢mico,,,,,P,"Planeaci¢n, seguimiento y evaluaci¢n de pol¡ticas p£blicas",," 21,002 ",1.0,"Definici¢n, conducci¢n y supervisi¢n de la pol¡tica de comunicaciones y transportes",,0.0,Comunicaciones y Transportes,Otros,9,4.0,Transporte Areo,,1.0,Gasto corriente,,643,Centro SCT Quintana Roo,,,,,,,,
,,10.0,,,,2015.0,11096440018,,San Luis Potosí,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios de traslado y viáticos,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT San Luis Potosí,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,24.0,,,,,3.0,1.0,5.0,,,,,K,"$6,000.00",,,3700.0,,,,31.0,,,,9,,,1.0,,,3.0,,,644,,,,,,,
,,4.0,,,,2008.0,,Vínculos políticos con el exterior que benefician los intereses nacionales,,,Recursos fiscales,Relaciones Exteriores,Gobierno,Materiales y Útiles de Administración y de Enseñanza,Diseño y conducción de la política exterior de México ,Relaciones Exteriores,Relaciones Exteriores,Gasto corriente,Dirección General de Comunicación Social,,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",,,,,,,,,,,,1.0,2.0,,,1.0,P,,389000.0,,,2100.0,,,,2.0,,,,5,,,1.0,,,1.0,,,112,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.0,,,,2015.0,0,,Colima,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Previsiones,Gestión Administrativa,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,6.0,,,,,1.0,1.0,3.0,,,,,M,$316.00,,,1600.0,,,,1.0,,,,22,,,6.0,,,1.0,,,300,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8.0,,,,2015.0,0,,Baja California,Desarrollo Social,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",,Servicios de arrendamiento,Impulso al desarrollo de la cultura,Educación Pública,Cultura,Gasto corriente,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",Fomento y promoción de la cultura,,Prestación de Servicios Públicos,,,,,2.0,,,,,2.0,1.0,4.0,,,,,E,"$3,936,038.00",,,3200.0,,,,11.0,,,,11,,,2.0,,,1.0,,,L6U,,,,,,,
,,8.0,,,,2015.0,0,,Baja California,Desarrollo Social,Recursos fiscales,Salud,,"Productos químicos, farmacéuticos y de laboratorio",Administración y fomento de los servicios de salud,Marina,Prestación de Servicios de Salud a la Persona,Gasto corriente,Dirección General de Recursos Humanos,Servicios de salud al personal naval militar y derechohabientes,,Funciones de las Fuerzas Armadas,,,,,2.0,,,,,2.0,1.0,3.0,,,,,A,"$110,000.00",,,2500.0,,,,7.0,,,,13,,,2.0,,,1.0,,,311,,,,,,,
Cobertura de la atenci¢n mdica curativa,4.0,,0,2100.0,"Materiales de administraci¢n, emisi¢n de documentos y art¡culos oficiales",2016.0,,,,,,,,,,,,,,,,,,,29.0,Tlaxcala,,4.0,3.0,Ingresos Propios,Salud,,,,2.0,Desarrollo Social,,,,,E,Prestaci¢n de Servicios P£blicos,," 1,462,313 ",44.0,Atenci¢n a laÿSalud,,0.0,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros,51,2.0,Prestaci¢n de Servicios de Salud a la Persona,,1.0,Gasto corriente,,GYN,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,,,,,,,,
Instrumentaci¢n de la pol¡tica Laboral,5.0,,0,3100.0,Servicios b sicos,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,1.0,Recursos fiscales,"Asuntos Econ¢micos, Comerciales y Laborales en General",,,,3.0,Desarrollo Econ¢mico,,,,,P,"Planeaci¢n, seguimiento y evaluaci¢n de pol¡ticas p£blicas",," 1,597,792 ",1.0,Instrumentaci¢n de la pol¡tica laboral,,0.0,Trabajo y Previsi¢n Social,Otros,14,2.0,Asuntos Laborales Generales,,1.0,Gasto corriente,,117,Direcci¢n General de Asuntos Jur¡dicos,,,,,,,,
,,10.0,,,,2015.0,12096490008,,Tlaxcala,Desarrollo Económico,Recursos fiscales,Transporte,,"Vestuario, blancos, prendas de protección y artículos deportivos",Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Tlaxcala,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,29.0,,,,,3.0,1.0,5.0,,,,,K,"$1,800.00",,,2700.0,,,,31.0,,,,9,,,1.0,,,3.0,,,649,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,2009.0,,Servicios de apoyo administrativo,,,,Desarrollo Sustentable,Desarrollo Económico,Seguros de bienes patrimoniales,Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,,"Dirección General de Recursos Materiales, Inmuebles y Servicios",,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,9.0,,,3.0,M,,7262770.0,,,3404.0,,,,1.0,,,,16,,,2.0,,,1.0,,,512,,,,,,,
,,12.0,,,,2015.0,0,,Veracruz,Desarrollo Social,Ingresos Propios,Protección Social,,Seguridad social,Gastos Administrativos por Operación de Fondos y Seguros,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Comercialización de productos básicos en Tiendas y Farmacias del ISSSTE,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,30.0,,,,,2.0,4.0,6.0,,,,,M,"$1,081,781.00",,,1400.0,,,,2.0,,,,51,,,9.0,,,1.0,,,GYN,,,,,,,
,,18.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,Salud,,Servicios de traslado y viáticos,Reducción de enfermedades prevenibles por vacunación,Salud,Prestación de Servicios de Salud a la Persona,Gasto corriente,Centro Nacional para la Salud de la Infancia y la Adolescencia,Prestación de servicios del Sistema Nacional de Salud organizados e integrados,,Prestación de Servicios Públicos,,,,,9.0,,,,,2.0,1.0,3.0,,,,,E,"$126,000.00",,,3700.0,,,,36.0,,,,12,,,2.0,,,1.0,,,R00,,,,,,,
,,233.0,,,,2015.0,0,,Veracruz,Desarrollo Económico,Ingresos Propios,Combustibles y Energía,,Otras prestaciones sociales y económicas,Prestación de servicios de telecomunicaciones internos a PEMEX,Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Petróleos Mexicanos (Consolidado),Servicios de telecomunicaciones en PEMEX,,Prestación de Servicios Públicos,,,,,30.0,,,,,3.0,4.0,3.0,,,,,E,"$943,233.00",,,1500.0,,,,14.0,,,,47,,,2.0,,,1.0,,,TZZ,,,,,,,
,,2.0,,,,2013.0,,,,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Remuneraciones al personal de caracter permanente,Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Dirección General de Programación y Presupuesto,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,2.0,1.0,1.0,,,,,M,10753648.0,,,1100.0,,,,1.0,,,,16,,,6.0,,,1.0,,,511,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,,,,2015.0,0,,Coahuila,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Subsidios y subvenciones,"Programa de Rehabilitación, Modernización, Tecnificación y Equipamiento de Distritos de Riego y Temporal Tecnificado",Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto de capital diferente de obra pública,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,,Sujetos a Reglas de Operación,,,,,5.0,,,,,3.0,1.0,2.0,,,,,S,"$56,244,876.00",,,4300.0,,,,79.0,,,,16,,,5.0,,,2.0,,,B00,,,,,,,
,,4.0,,,,2008.0,,Fondo de Aportaciones para los Servicios de Salud,,,Recursos fiscales,Salud,Desarrollo Social,Aportaciones federales a las entidades federativas y municipios para aportaciones al ISSSTE,Zacatecas,Aportaciones Federales para Entidades Federativas y Municipios,Generación de Recursos para la Salud,Gasto corriente,"Dirección General de Programación y Presupuesto ""A""",,Gasto federalizado,,,,,,,,,,,,1.0,1.0,,,2.0,I,,826327.0,,,8402.0,,,,32.0,,,,33,,,3.0,,,1.0,,,416,,,,,,,
,,10.0,,,,2015.0,46030,,Puebla,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios básicos,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Puebla,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,21.0,,,,,3.0,1.0,5.0,,,,,K,"$23,500.00",,,3100.0,,,,31.0,,,,9,,,1.0,,,3.0,,,641,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,,,,2015.0,0,,Sonora,Desarrollo Económico,Recursos fiscales,Transporte,,"Servicios de instalación, reparación, mantenimiento y conservación","Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Transporte por Agua y Puertos,Gasto corriente,Centro SCT Sonora,Puertos eficientes y competitivos,,Regulación y supervisión,,,,,26.0,,,,,3.0,1.0,5.0,,,,,G,"$100,000.00",,,3500.0,,,,2.0,,,,9,,,2.0,,,1.0,,,646,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,,,,2015.0,0,,Colima,Desarrollo Social,Recursos fiscales,Salud,,Remuneraciones al personal de carácter transitorio,Orientación para la Salud,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Cobertura de la atención médica preventiva,,Prestación de Servicios Públicos,,,,,6.0,,,,,2.0,1.0,3.0,,,,,E,"$6,913.00",,,1200.0,,,,4.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,4.0,,,,2009.0,,Investigación del delito federal,,,,"Orden, Seguridad y Justicia",Gobierno,Pago por riesgo,Combate a delitos del fuero federal,Procuraduría General de la República,Procuración de Justicia,,Dirección General de Supervisión e Inspección Interna para la Agencia Federal de Investigación,,Prestación de Servicios Públicos,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,6.0,,,1.0,E,,251492.0,,,1514.0,,,,2.0,,,,17,,,3.0,,,1.0,,,912,,,,,,,
,,4.0,,,,2015.0,0,,Quintana Roo,Desarrollo Económico,Recursos fiscales,Turismo,,Materiales y artículos de construcción y de reparación,Conservación y mantenimiento a los CIP's a cargo del FONATUR,Turismo,Turismo,Gasto corriente,"FONATUR Mantenimiento Turístico, S.A. de C.V.",Turismo con sello propio de calidad hospitalidad y seguridad,,Prestación de Servicios Públicos,,,,,23.0,,,,,3.0,1.0,7.0,,,,,E,"$845,736.00",,,2400.0,,,,7.0,,,,21,,,1.0,,,1.0,,,W3S,,,,,,,
,,4.0,,,,2015.0,0,,Querétaro,Desarrollo Económico,Recursos fiscales,"Ciencia, Tecnología e Innovación",,"Materiales de administración, emisión de documentos y artículos oficiales",Desarrollo tecnológico e innovación y elaboración de publicaciones,Consejo Nacional de Ciencia y Tecnología,Desarrollo Tecnológico,Gasto corriente,"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C.",Generación de desarrollo e innovación tecnológica para elevar la competitividad del país y difusión de sus resultados,,Prestación de Servicios Públicos,,,,,22.0,,,,,3.0,1.0,8.0,,,,,E,"$237,856.00",,,2100.0,,,,2.0,,,,38,,,2.0,,,1.0,,,90K,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.0,,,,2015.0,14096440010,,San Luis Potosí,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios de arrendamiento,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT San Luis Potosí,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,24.0,,,,,3.0,1.0,5.0,,,,,K,"$1,644.00",,,3200.0,,,,31.0,,,,9,,,1.0,,,3.0,,,644,,,,,,,
Servicios de apoyo administrativo,2.0,,0,2500.0,"Productos qu¡micos, farmacuticos y de laboratorio",2016.0,,,,,,,,,,,,,,,,,,,8.0,Chihuahua,,1.0,5.0,Recursos fiscales,Transporte,,,,3.0,Desarrollo Econ¢mico,,,,,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,," 8,531 ",1.0,Actividades de apoyo administrativo,,0.0,Comunicaciones y Transportes,Otros,9,6.0,Otros Relacionados con Transporte,,1.0,Gasto corriente,,628,Centro SCT Chihuahua,,,,,,,,
,,3.0,,,,2009.0,,Proteger los Derechos Humanos Eficaz y Eficientemente,,,,"Orden, Seguridad y Justicia",Gobierno,Compensaciones adicionales por servicios especiales,"Solucionar expedientes de presuntas violaciones a los Derechos Humanos: Quejas, Orientaciones Directas y Remisiones",Comisión Nacional de los Derechos Humanos,Protección y Promoción de los Derechos Humanos,,Tercera Visitaduría General,,Prestación de Servicios Públicos,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,6.0,,,1.0,E,,722196.0,,,1322.0,,,,4.0,,,,35,,,5.0,,,1.0,,,103,,,,,,,
,,3.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios basicos,"Supervisión, regulación, inspección, verificación y servicios administrativos de construcción y conservación de carreteras",Comunicaciones y Transportes,Transporte por Carretera,Gasto corriente,Centro SCT Aguascalientes,"Carreteras eficientes, seguras y suficientes",,Regulación y supervisión,,,,,,,,,,3.0,1.0,5.0,,,,,G,"2,435.00",,,3100.0,,,,3.0,,,,9,,,1.0,,,1.0,,,621,,,,,,,
"Distribuci¢n de petr¢leo crudo, gas, petrol¡feros y petroqu¡micos y mantenimiento de instalaciones",227.0,,0,1300.0,Remuneraciones adicionales y especiales,2016.0,,,,,,,,,,,,,,,,,,,16.0,Michoac n,,4.0,3.0,Ingresos Propios,Combustibles y Energ¡a,,,,3.0,Desarrollo Econ¢mico,,,,,E,Prestaci¢n de Servicios P£blicos,," 66,065,375 ",10.0,"Distribuci¢n de petr¢leo, gas, petrol¡feros y petroqu¡micos",,0.0,Petr¢leos Mexicanos,Otros,52,2.0,Petr¢leo y Gas Natural (Hidrocarburos),,1.0,Gasto corriente,,TYY,Pemex Consolidado,,,,,,,,
Manejo eficiente y sustentable del agua y prevenci¢n de inundaciones,3.0,,1516B000064,6200.0,Obra p£blica en bienes propios,2016.0,,,,,,,,,,,,,,,,,,,25.0,Sinaloa,,1.0,2.0,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,,,3.0,Desarrollo Econ¢mico,,,,,K,Proyectos de Inversi¢n,," 32,949,733 ",111.0,Rehabilitaci¢n y Modernizaci¢n de Presas y Estructuras de Cabeza,,0.0,Medio Ambiente y Recursos Naturales,Otros,16,5.0,Hidroagr¡cola,,3.0,Gasto de obra p£blica,,B00,Comisi¢n Nacional del Agua,,,,,,,,
,,3.0,,,,2009.0,,Proteger los Derechos Humanos Eficaz y Eficientemente,,,,"Orden, Seguridad y Justicia",Gobierno,Compensaciones adicionales por servicios especiales,"Solucionar expedientes de presuntas violaciones a los Derechos Humanos: Quejas, Orientaciones Directas y Remisiones",Comisión Nacional de los Derechos Humanos,Protección y Promoción de los Derechos Humanos,,Quinta Visitaduría General,,Prestación de Servicios Públicos,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,6.0,,,1.0,E,,312704.0,,,1322.0,,,,4.0,,,,35,,,5.0,,,1.0,,,116,,,,,,,
,,2.0,,,,2011.0,,,,Gobierno,Recursos fiscales,"Orden, Seguridad y Justicia",,"Vestuario, blancos, prendas de proteccion y articulos deportivos",Actividades de apoyo administrativo,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Dirección General de Recursos Humanos,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,1.0,1.0,6.0,,,,,M,16327.0,,,2700.0,,,,1.0,,,,17,,,3.0,,,1.0,,,811,,,,,,,
,,18.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Asuntos de Orden Público y de Seguridad Interior,,Servicios básicos,Plataforma México,Gobernación,Sistema Nacional de Seguridad Pública,Gasto corriente,Dirección General de Infraestructura Tecnológica de Seguridad Pública,Coordinación del Sistema Nacional de Seguridad Pública,,Específicos,,,,,9.0,,,,,1.0,1.0,7.0,,,,,R,"$166,487.00",,,3100.0,,,,903.0,,,,4,,,4.0,,,1.0,,,632,,,,,,,
,,1.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Remuneraciones adicionales y especiales,Actividades de apoyo a la función pública y buen gobierno,"Desarrollo Agrario, Territorial y Urbano",Función Pública,Gasto corriente,Órgano Interno de Control,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,9.0,,,,,1.0,1.0,3.0,,,,,O,"$119,528.00",,,1300.0,,,,1.0,,,,15,,,4.0,,,1.0,,,112,,,,,,,
,,2.0,,,,2009.0,,Servicios de apoyo administrativo,,,,Turismo,Desarrollo Económico,"Servicios Comercial, Bancario, Financiero, Subcontratación de Servicios con Terceros y Gastos Inherentes",Actividades de apoyo administrativo,Turismo,Turismo,,Subsecretaría de Innovación y Calidad (Oficialía Mayor),,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,6.0,,,3.0,M,,12013.0,,,3400.0,,,,1.0,,,,21,,,1.0,,,1.0,,,500,,,,,,,
,,3.0,,,,2010.0,,,,Desarrollo Económico,Recursos fiscales,Desarrollo Sustentable,,"Materias Primas de Producción, Productos Químicos, Farmacéuticos y de Laboratorio",Programa de gestión hídrica,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Subdirección General de Administración del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,,Regulación y supervisión,,,,,,,,,,3.0,1.0,9.0,,,,,G,7000.0,,,2500.0,,,,10.0,,,,16,,,1.0,,,1.0,,,B02,,,,,,,
Educaci¢n media superior de calidad,4.0,,15116000005,5300.0,Equipo e instrumental medico y de laboratorio,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,5.0,Recursos fiscales,Educaci¢n,,,,2.0,Desarrollo Social,,,,,E,Prestaci¢n de Servicios P£blicos,," 51,465,000 ",9.0,Programa de Formaci¢n de Recursos Humanos basada en Competencias,,0.0,Educaci¢n P£blica,Otros,11,2.0,Educaci¢n Media Superior,,2.0,Gasto de capital diferente de obra p£blica,,600,Subsecretar¡a de Educaci¢n Media Superior,,,,,,,,
"Enfermedades emergentes, urgencias epidemiol¢gicas y desastres naturales prevenidos, controlados y atendidos oportunamente",16.0,,0,4300.0,Subsidios y subvenciones,2016.0,,,,,,,,,,,,,,,,,,,23.0,Quintana Roo,,1.0,3.0,Recursos fiscales,Salud,,,,2.0,Desarrollo Social,,,,,U,Otros Subsidios,," 17,316,375 ",9.0,Vigilancia epidemiol¢gica,,0.0,Salud,Otros,12,1.0,Prestaci¢n de Servicios de Salud a la Comunidad,,1.0,Gasto corriente,,O00,Centro Nacional de Programas Preventivos y Control de Enfermedades,,,,,,,,
,,10.0,,,,2015.0,45921,,Veracruz,Desarrollo Económico,Recursos fiscales,Transporte,,Alimentos y utensilios,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Veracruz,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,30.0,,,,,3.0,1.0,5.0,,,,,K,$600.00,,,2200.0,,,,31.0,,,,9,,,1.0,,,3.0,,,650,,,,,,,
